Loan_ID,Borrower_Name,Loan_Amount,Interest_Rate,Loan_Term,Credit_Score,Employment_Status,Annual_Income,Property_Value,Loan_Purpose,Monthly_Payment,Loan_Status,Down_Payment,Property_Type,Loan_to_Value,Origination_Date,Approval_Date
1422,Bianca Jones,152070,3.73,20,750,Unemployed,30754,590634,Home Improvement,1006.57,Approved,31555,Townhouse,86.33,07-08-2022,28-06-2023
1423,Emily Bass,475985,4.23,30,686,Employed,42656,580639,Refinance,1061.69,Rejected,45581,Single-Family,86.96,08-02-2022,29-05-2023
1424,Sandra Young,208572,3.22,20,613,Self-Employed,54701,648646,Refinance,1469.67,Rejected,47426,Condo,75.86,17-05-2022,26-04-2023
1425,Andrew Harris,110880,4.69,20,698,Employed,117706,196120,Home Improvement,2896.76,Rejected,18548,Single-Family,82.52,15-02-2022,14-03-2023
1426,Mark Miles,411608,3.06,30,701,Self-Employed,69821,487139,Purchase,2874.88,Rejected,16372,Single-Family,90.98,22-08-2022,28-12-2022
1427,Michael Johnston,205702,4.11,15,738,Self-Employed,104059,232930,Purchase,2038.48,Rejected,19385,Single-Family,90.21,24-04-2023,07-01-2023
1428,Raymond Cox,454599,3.64,15,672,Self-Employed,86363,793250,Purchase,1178.67,Rejected,35889,Condo,78.07,12-08-2022,09-11-2022
1429,Blake Gray,388333,4.87,20,701,Unemployed,94586,228251,Purchase,2419.03,Rejected,28101,Single-Family,91.7,25-07-2022,27-11-2022
1430,Larry Anderson,261847,3.22,15,772,Unemployed,30612,671714,Home Improvement,811.4,Rejected,32592,Condo,70.42,04-10-2022,11-09-2023
1431,Matthew Herrera,477075,3.1,20,768,Self-Employed,46382,678894,Home Improvement,2085.26,Approved,12592,Townhouse,70.1,27-08-2023,18-03-2023
1432,Ronald Bowman,462768,3.56,15,716,Unemployed,44840,735317,Refinance,2063.07,Pending,23710,Condo,81.71,14-07-2023,28-08-2023
1433,Samuel Carson,420052,3.7,15,739,Self-Employed,34076,561780,Home Improvement,778.57,Approved,30728,Condo,88.47,10-02-2023,15-06-2023
1434,David Calderon,224857,4.04,20,724,Self-Employed,78889,540585,Refinance,2320.76,Rejected,15950,Condo,73.06,06-02-2023,14-09-2023
1435,Robin Johnson,129069,3.71,30,671,Employed,43482,799184,Refinance,1594.89,Pending,18539,Townhouse,90.74,10-09-2022,01-10-2023
1436,Edward Wilkins,300132,3.22,15,762,Self-Employed,87355,369933,Purchase,2903.19,Rejected,45766,Single-Family,91.22,14-04-2022,22-09-2023
1437,Shane Edwards,295139,3.28,30,785,Unemployed,113112,551824,Home Improvement,2932.08,Approved,16702,Condo,92.91,08-02-2022,10-05-2023
1438,Bianca Henderson,297235,3.51,20,612,Self-Employed,62377,114015,Purchase,2122.4,Rejected,25557,Condo,72.2,13-06-2023,29-12-2022
1439,Brandy Cardenas,117664,3.98,30,766,Self-Employed,47261,545300,Home Improvement,2315.15,Rejected,35484,Condo,89.47,17-04-2023,20-09-2023
1440,Patrick Harding,452602,4.58,20,633,Self-Employed,90675,786760,Refinance,629.98,Approved,14054,Townhouse,87.02,11-04-2022,07-12-2022
1441,Michael Mason,416376,4.48,20,600,Self-Employed,117484,408001,Refinance,2265.32,Pending,22548,Single-Family,75.39,04-04-2022,27-09-2023
1442,Richard Martin,399999,3.7,15,648,Unemployed,74555,639769,Purchase,1260.57,Approved,46387,Condo,91.88,11-11-2021,07-09-2023
1443,James Martin,484893,3.54,20,685,Self-Employed,116336,273877,Home Improvement,1228.76,Pending,34845,Single-Family,84.94,17-09-2022,24-09-2023
1444,William Tucker,415771,3.97,30,730,Unemployed,104179,278212,Home Improvement,2067.36,Pending,42307,Townhouse,73.81,10-11-2022,01-10-2023
1445,Amy Spencer,243552,3.07,15,669,Employed,110389,219656,Purchase,948.56,Approved,34721,Condo,77.16,22-09-2022,24-11-2022
1446,Mike Robinson,363925,3.24,20,622,Employed,50383,248434,Refinance,1313.54,Approved,43651,Townhouse,84,22-08-2022,26-08-2023
1447,James Cochran,304866,3.16,15,759,Employed,35961,720882,Home Improvement,2519.14,Approved,39906,Single-Family,87.1,31-01-2023,16-06-2023
1448,Tony Thompson,261680,3.67,30,652,Employed,63455,490788,Purchase,1404.83,Rejected,14978,Single-Family,80.37,28-11-2022,12-07-2023
1449,Antonio Bruce,350736,4.62,20,748,Employed,53956,585477,Purchase,1318.28,Pending,22351,Single-Family,77.52,15-09-2023,14-08-2023
1450,Stephanie Olsen,452242,4.84,15,709,Employed,53855,514520,Purchase,1477.81,Pending,15250,Single-Family,73.88,25-08-2022,22-06-2023
1451,James Nichols,324524,3.61,30,642,Self-Employed,40810,416196,Home Improvement,630.61,Approved,46507,Single-Family,79.31,31-01-2022,09-03-2023
1452,Amy Wise,252585,3.78,15,780,Unemployed,55911,125927,Home Improvement,965.36,Pending,41242,Townhouse,93.62,10-07-2023,10-11-2022
1453,Laura Hampton,399210,4.98,15,617,Self-Employed,114242,479154,Refinance,1373.15,Rejected,39851,Condo,79.7,01-05-2023,22-03-2023
1454,Eileen Johnson,229206,4.51,15,764,Self-Employed,109741,267617,Purchase,749.56,Rejected,27965,Townhouse,87.87,28-08-2022,24-04-2023
1455,Nathan Quinn,340887,3.55,20,707,Self-Employed,107766,617759,Home Improvement,1820.54,Rejected,36510,Single-Family,79.69,28-10-2022,25-04-2023
1456,Tracey Bryant,148384,3.62,20,756,Unemployed,58500,146720,Refinance,2160.73,Pending,14929,Condo,90.38,31-12-2022,29-12-2022
1457,Hannah Simpson,194711,4.82,15,680,Self-Employed,89061,737378,Home Improvement,918.23,Pending,48507,Single-Family,70.6,30-05-2022,30-10-2023
1458,Miss Tiffany Brady,305493,3.06,15,713,Self-Employed,67000,765118,Home Improvement,2554.8,Pending,45964,Condo,71.37,22-07-2022,20-12-2022
1459,Sara Charles,498111,4.41,15,650,Self-Employed,101028,403688,Purchase,839.17,Pending,35131,Condo,77.22,02-09-2023,09-11-2022
1460,Laurie Gilmore,420689,4.28,20,686,Employed,109823,244015,Refinance,2102.41,Pending,26069,Condo,70.02,26-11-2021,08-04-2023
1461,Heather Kramer MD,112143,3.66,30,774,Self-Employed,55400,461641,Refinance,2731.04,Approved,18352,Single-Family,87.58,05-08-2022,13-02-2023
1462,Sarah Jimenez,129388,4.02,15,792,Unemployed,110493,138637,Refinance,1531.2,Approved,23881,Townhouse,94.33,15-04-2022,05-11-2022
1463,Michael Hernandez,221747,3.78,20,780,Unemployed,31216,659114,Purchase,1060.91,Approved,21022,Condo,83.48,08-11-2021,29-03-2023
1464,Allison Smith,341326,4.88,15,663,Self-Employed,69774,339302,Purchase,2482.8,Pending,36243,Townhouse,81.59,22-05-2023,14-10-2023
1465,Roberta Anderson,453490,4.89,20,611,Unemployed,66588,294538,Refinance,1238.6,Approved,35325,Single-Family,76.11,03-06-2022,26-12-2022
1466,Kathleen Jenkins,114788,4.53,20,772,Employed,67100,545492,Refinance,2619.9,Pending,36855,Single-Family,94.25,03-07-2023,15-01-2023
1467,Evelyn Edwards,442105,4.97,15,788,Unemployed,61126,694683,Purchase,2253.17,Rejected,42223,Townhouse,83.22,20-06-2022,09-12-2022
1468,Joshua Lee,189847,3.4,15,735,Self-Employed,64007,207114,Purchase,1338.77,Rejected,24218,Townhouse,70.12,08-12-2021,30-01-2023
1469,Melissa Moore,341890,3.43,15,699,Employed,92064,628362,Refinance,2614.03,Pending,44951,Single-Family,86.99,14-01-2022,13-09-2023
1470,Jeremy Carr,210754,3.92,20,777,Self-Employed,75803,617304,Home Improvement,1183.17,Rejected,40523,Single-Family,71.89,12-06-2022,25-01-2023
1471,Jordan Thompson,422871,3.44,20,686,Unemployed,95719,764803,Home Improvement,2423.14,Rejected,17852,Single-Family,71.83,16-01-2023,08-11-2022
1472,Carrie Kim,286713,4.17,15,680,Self-Employed,85565,579504,Refinance,2460.52,Rejected,27946,Townhouse,80.97,28-06-2022,02-09-2023
1473,Travis Gibson DVM,479508,4.23,20,601,Employed,68800,100822,Home Improvement,2224.47,Rejected,47160,Single-Family,85.19,06-10-2022,13-09-2023
1474,Gary Golden,165227,4.71,20,735,Employed,82050,554704,Refinance,2038.5,Pending,25650,Single-Family,78.79,29-01-2023,16-05-2023
1475,Cindy Stanton,308320,3.34,30,737,Unemployed,109718,382683,Purchase,2232.08,Rejected,38324,Condo,72.04,03-02-2022,08-08-2023
1476,Shannon Sanders,380305,3.86,20,608,Unemployed,53901,314198,Refinance,556.38,Rejected,24867,Townhouse,76.68,06-09-2022,09-08-2023
1477,William Patrick,344387,3.81,15,745,Unemployed,89482,762813,Purchase,931.24,Rejected,43366,Condo,79.13,24-04-2023,29-05-2023
1478,Blake Kane,106388,3.11,15,633,Unemployed,101656,671484,Purchase,1872.44,Rejected,34925,Single-Family,83.32,01-02-2022,06-06-2023
1479,Megan Wilkerson,352262,3.17,15,709,Self-Employed,60510,259183,Home Improvement,2257.97,Approved,18135,Condo,86.89,20-08-2022,09-07-2023
1480,Rachel Nicholson,235091,3.42,30,710,Unemployed,97858,501836,Refinance,1714.73,Rejected,21847,Condo,81.15,29-09-2023,25-04-2023
1481,Jerry Guzman,374349,4.35,20,679,Unemployed,104630,272146,Home Improvement,1283.2,Rejected,39874,Condo,88.22,21-08-2023,12-02-2023
1482,Todd Wade,403405,3.13,15,668,Employed,83797,764371,Refinance,2179.04,Approved,12204,Townhouse,72.21,24-03-2022,24-06-2023
1483,Harold Bell,387228,3.61,30,624,Employed,42205,155002,Purchase,1457.32,Pending,37066,Townhouse,79.33,10-05-2022,20-12-2022
1484,Joshua Castro,445198,3.71,15,773,Unemployed,74153,714039,Refinance,2046.25,Pending,14495,Condo,82.37,12-02-2022,07-11-2022
1485,Jordan Long,420393,3.9,15,727,Unemployed,78653,415241,Purchase,539.42,Pending,45070,Condo,91.78,07-12-2022,25-07-2023
1486,Kimberly Jackson,426792,4.05,20,619,Unemployed,52116,229187,Refinance,2372.17,Approved,28975,Townhouse,84.79,23-11-2022,01-07-2023
1487,Daniel Dunn,247355,4.69,20,685,Employed,112421,358960,Refinance,2739.67,Pending,42875,Townhouse,79.78,31-12-2022,05-07-2023
1488,Brett Mendoza,103263,3.8,20,642,Self-Employed,82489,254934,Home Improvement,2755.67,Pending,18279,Townhouse,93.58,12-12-2021,04-12-2022
1489,Alexander Hill,162126,3.27,30,675,Self-Employed,105080,492281,Purchase,650.77,Approved,35138,Townhouse,78.58,03-03-2023,18-12-2022
1490,Harry Lopez MD,343927,3.73,15,781,Unemployed,115185,199524,Purchase,1132,Approved,10593,Single-Family,75.41,27-08-2022,05-01-2023
1491,Brian King,322511,3.46,30,641,Unemployed,40573,158985,Home Improvement,1255.92,Approved,30652,Single-Family,93.39,24-11-2022,20-07-2023
1492,Brian Acosta,417702,3.46,20,606,Self-Employed,90993,774842,Purchase,891.04,Pending,35952,Townhouse,86.69,30-04-2023,01-10-2023
1493,Anne Hernandez,342228,3.25,30,605,Employed,52339,206712,Purchase,1016.53,Rejected,14317,Single-Family,89.89,02-12-2022,19-04-2023
1494,Dana Richards,177085,3.79,20,655,Unemployed,72842,325364,Refinance,1318.36,Rejected,28708,Condo,83.7,09-07-2022,13-02-2023
1495,Ariana Gonzales,135482,4.05,15,797,Employed,68522,158411,Home Improvement,2640.8,Pending,32340,Single-Family,75.86,20-01-2022,03-02-2023
1496,Kristen Wilson,154145,3.75,15,621,Employed,40890,237881,Purchase,1651.5,Approved,26708,Townhouse,76.84,27-02-2023,19-04-2023
1497,Tammy Harrison,310875,3.59,20,697,Self-Employed,102334,499146,Purchase,2409.5,Pending,47380,Townhouse,70.47,05-01-2023,11-07-2023
1498,Michael Camacho,366207,3.9,15,681,Unemployed,70033,689409,Purchase,725.71,Pending,45234,Condo,74.42,24-11-2021,08-09-2023
1499,Angela Williams,406041,4.53,15,755,Self-Employed,116491,729095,Purchase,2197.86,Rejected,28655,Condo,88.7,28-06-2023,01-03-2023
1500,Amy Leblanc,318000,3.27,20,751,Employed,70519,183034,Refinance,714,Pending,18723,Townhouse,75.16,03-05-2022,27-12-2022
1501,Virginia Padilla,404375,4.68,30,691,Self-Employed,59665,268689,Purchase,757.44,Rejected,44557,Townhouse,70.84,19-07-2023,06-08-2023
1502,Jacob Tran,227231,4.68,20,796,Unemployed,117894,201169,Purchase,1688.06,Approved,47388,Single-Family,79.77,28-12-2022,28-04-2023
1503,Lee Estrada,134697,3.53,15,759,Employed,93478,206357,Refinance,1338.64,Approved,13404,Single-Family,72.93,30-03-2023,02-04-2023
1504,Jose Ruiz,192211,3.21,30,698,Unemployed,81764,558716,Refinance,2435.93,Approved,21190,Condo,80.86,06-10-2022,25-10-2023
1505,Thomas Mcgrath,479582,3.65,20,643,Unemployed,59957,150737,Home Improvement,758.78,Approved,11402,Townhouse,70.83,29-10-2022,08-09-2023
1506,Carolyn Nelson,129437,3.16,30,628,Employed,76611,315947,Home Improvement,2344.55,Pending,46587,Townhouse,81.92,23-03-2022,08-12-2022
1507,Belinda Ramsey,278964,3.88,20,696,Unemployed,93102,552377,Purchase,658.65,Pending,33209,Townhouse,81.42,25-11-2022,06-07-2023
1508,Mrs. Theresa Jackson,377363,4.18,20,761,Employed,84479,180673,Refinance,1028.19,Rejected,23424,Townhouse,93.55,31-08-2023,15-03-2023
1509,Alyssa Campbell,300261,4.59,15,694,Unemployed,113758,748198,Refinance,2263.74,Rejected,16865,Condo,81.25,10-11-2022,18-10-2023
1510,Scott Ferguson,482337,4.27,30,732,Employed,57471,719707,Purchase,832.86,Rejected,12325,Single-Family,93.39,25-08-2023,30-07-2023
1511,Anthony Williams Jr.,355587,3.48,30,781,Unemployed,102633,315005,Purchase,1372.93,Rejected,20054,Condo,81.42,08-06-2023,18-07-2023
1512,Lisa Clayton,189013,3.26,15,668,Self-Employed,60503,359343,Home Improvement,1603.27,Rejected,24787,Townhouse,76.24,21-09-2022,17-12-2022
1513,Courtney Martinez,174211,3.16,20,733,Employed,82555,408840,Home Improvement,1916.26,Approved,24902,Townhouse,80.7,20-12-2021,03-04-2023
1514,Connie Carey,184870,3.95,20,659,Self-Employed,78143,173123,Home Improvement,2666.22,Pending,37816,Single-Family,92.77,18-01-2023,04-09-2023
1515,Donna Ferguson,253811,3.46,15,622,Employed,115268,186461,Home Improvement,1259.24,Approved,13416,Condo,72.45,28-05-2023,02-05-2023
1516,Dr. Allison Walker,147221,4.64,20,742,Self-Employed,91052,118043,Home Improvement,2246.04,Approved,18346,Condo,94.38,15-04-2023,16-03-2023
1517,Mallory Williamson,108281,3.71,20,651,Self-Employed,80636,480301,Home Improvement,739.41,Approved,39102,Townhouse,76.83,18-10-2023,02-10-2023
1518,Dennis Gonzales,160239,4.33,30,798,Self-Employed,84692,131046,Refinance,2103.63,Pending,27241,Townhouse,72.18,16-01-2022,20-02-2023
1519,Tanya Young,415700,3.31,30,734,Self-Employed,32935,123426,Home Improvement,2678.4,Approved,23622,Condo,82.25,01-10-2022,05-11-2022
1520,Mitchell Miller,104681,4.16,30,768,Self-Employed,41084,291408,Purchase,696.95,Approved,14887,Condo,85.76,19-09-2022,19-09-2023
1521,Debra Newman,317483,3.72,20,653,Self-Employed,73737,636646,Purchase,1329.68,Rejected,47399,Condo,94.42,15-10-2022,12-11-2022
1522,John Levine,231586,4.21,15,602,Employed,57876,387604,Refinance,741.54,Pending,47734,Condo,94.35,10-09-2023,10-12-2022
1523,Philip Adams,173681,3.92,30,690,Self-Employed,42264,700797,Home Improvement,1062.97,Pending,30769,Townhouse,77.6,23-05-2023,18-07-2023
1524,Mrs. Taylor Ramirez,377767,3.71,15,697,Employed,79803,154728,Purchase,2859.88,Approved,27290,Single-Family,93.41,02-09-2023,31-08-2023
1525,Michael Montgomery,335363,4.27,30,793,Employed,110608,560682,Home Improvement,2465.69,Rejected,48780,Condo,85.35,15-02-2023,15-01-2023
1526,Zachary Rodriguez,486218,3.22,15,726,Unemployed,41468,546090,Refinance,1848.59,Rejected,46703,Condo,84.08,08-07-2023,15-08-2023
1527,Christopher Martinez,346064,4.07,30,714,Self-Employed,106338,737884,Refinance,1278.29,Rejected,12915,Condo,86.41,06-01-2023,25-05-2023
1528,Jessica Robinson,148312,3.87,20,730,Employed,42581,686280,Home Improvement,1795.79,Approved,15614,Townhouse,81.62,23-04-2022,06-12-2022
1529,Tiffany Strickland,312861,4.78,20,654,Unemployed,87251,589067,Purchase,963.34,Pending,41142,Townhouse,73.95,11-08-2022,06-01-2023
1530,Charles Turner,418024,3.76,15,789,Self-Employed,80885,410276,Purchase,2767.76,Approved,14039,Single-Family,91.62,15-05-2023,27-01-2023
1531,Sharon Brown,317834,4.91,20,673,Self-Employed,86330,502826,Home Improvement,694.33,Rejected,13799,Single-Family,72.5,23-08-2023,14-07-2023
1532,Scott Hudson II,423386,3.03,30,614,Employed,45778,573910,Purchase,2252.05,Pending,33284,Single-Family,93.14,08-05-2023,09-01-2023
1533,Erica Calderon,328986,3.12,30,761,Unemployed,67353,751403,Home Improvement,2977.41,Approved,39699,Single-Family,84.06,23-07-2022,28-02-2023
1534,Elizabeth Wright,369337,3.24,15,636,Self-Employed,55743,177705,Purchase,1958.61,Rejected,30606,Townhouse,73.34,11-08-2022,24-06-2023
1535,Mr. Craig Thomas,171349,4.18,15,746,Employed,77467,165583,Refinance,2525.24,Approved,43474,Townhouse,71.64,01-10-2023,28-07-2023
1536,Nicole Solis,459306,4.45,30,775,Unemployed,47488,731858,Home Improvement,1637.99,Pending,39354,Single-Family,87.09,02-11-2021,04-12-2022
1537,Holly Nunez,222803,3.16,15,747,Unemployed,54234,494671,Purchase,2497.59,Rejected,31179,Condo,93.76,11-04-2022,13-05-2023
1538,Amy Rhodes,133978,4.9,30,799,Self-Employed,64083,593420,Purchase,834.05,Rejected,16382,Single-Family,71.9,12-07-2022,23-06-2023
1539,Thomas Fox,429794,4.79,30,649,Self-Employed,75627,521375,Refinance,1456.69,Approved,10655,Townhouse,77.48,24-06-2022,25-02-2023
1540,Eric Clay,263544,4.26,15,713,Self-Employed,103476,696817,Home Improvement,1204.21,Rejected,29026,Townhouse,90.74,15-11-2021,10-06-2023
1541,Stephanie Cardenas,147432,3.76,20,601,Unemployed,60841,137944,Purchase,841.51,Rejected,43883,Townhouse,74.1,19-11-2022,11-03-2023
1542,Ryan Lewis,156321,3.99,30,612,Self-Employed,33960,461344,Purchase,2747.55,Rejected,31376,Townhouse,88.33,26-03-2022,20-02-2023
1543,Jeffrey Schroeder,360468,3.18,15,612,Employed,75165,369243,Purchase,632.38,Pending,40568,Single-Family,84.78,19-06-2022,15-09-2023
1544,Michael Ho,215800,4.53,20,707,Self-Employed,75262,251760,Refinance,2835.92,Pending,28088,Townhouse,90.75,12-07-2023,22-12-2022
1545,Richard Grimes,486796,4.73,20,622,Unemployed,58980,160914,Home Improvement,1773.88,Rejected,48258,Townhouse,86.53,28-04-2023,05-08-2023
1546,Nathaniel Crawford,314403,3.57,20,687,Self-Employed,89474,707609,Home Improvement,1098.08,Rejected,38289,Condo,90.58,10-03-2023,07-07-2023
1547,Michelle Powell,493176,4.79,30,622,Employed,48801,101949,Purchase,1294.95,Approved,22920,Condo,82.11,13-05-2023,11-12-2022
1548,Melissa Salazar,124202,3.23,15,600,Self-Employed,112328,575321,Home Improvement,1756.44,Pending,16833,Condo,74.36,04-10-2022,14-07-2023
1549,Teresa Collins,400489,4.45,15,695,Unemployed,69108,480263,Home Improvement,1464.14,Approved,44673,Condo,71.29,13-01-2023,17-11-2022
1550,Sharon Adams,116597,3.74,20,625,Employed,54288,141851,Purchase,500.29,Pending,40263,Condo,73.2,29-11-2022,08-10-2023
1551,Pamela Reese,210283,4.08,30,705,Employed,48435,530174,Home Improvement,1337.9,Pending,29387,Single-Family,80.09,04-06-2022,01-12-2022
1552,Christopher Malone,278710,3.87,30,622,Unemployed,90504,323204,Purchase,862.91,Rejected,37518,Townhouse,87.15,14-03-2023,11-03-2023
1553,John Davis,320465,3.44,30,652,Employed,110104,647617,Purchase,2863.25,Rejected,12413,Townhouse,86.89,10-05-2023,24-12-2022
1554,Leroy Weaver,243408,4.55,30,794,Unemployed,99054,222681,Purchase,1642.24,Approved,21992,Condo,92.66,15-11-2022,26-02-2023
1555,Lauren Rose,142091,3.32,15,712,Unemployed,102709,100931,Home Improvement,1002.24,Pending,35270,Condo,86.3,12-04-2023,19-09-2023
1556,Diana Hill,128977,3.93,30,655,Self-Employed,95876,598480,Home Improvement,1991.01,Pending,20878,Condo,70.68,19-04-2022,31-07-2023
1557,Dawn Leblanc,375538,3.38,15,661,Self-Employed,66207,343622,Purchase,2608.83,Rejected,28232,Single-Family,79.03,25-03-2023,03-02-2023
1558,Sean Nelson,189692,4.02,20,693,Self-Employed,70987,446704,Refinance,839.31,Pending,30936,Single-Family,89.48,11-02-2023,21-10-2023
1559,Joanna Mcdaniel,484039,3.1,20,645,Employed,68076,341639,Home Improvement,2816.02,Approved,16051,Condo,94.64,19-04-2022,01-04-2023
1560,Brian Petersen,306355,3.71,20,611,Employed,107199,692297,Refinance,623.33,Pending,15870,Single-Family,87.01,20-12-2022,04-06-2023
1561,Heather Hurst,226019,3.83,20,650,Self-Employed,80970,536341,Home Improvement,1159.37,Rejected,34589,Single-Family,76.1,12-11-2021,11-06-2023
1562,Amy Delgado,224435,4.1,20,611,Unemployed,34281,569769,Home Improvement,2602.9,Approved,17297,Townhouse,94.47,06-08-2023,09-03-2023
1563,Melvin Jimenez,154674,4.26,15,774,Self-Employed,59521,437608,Refinance,1156.94,Rejected,29515,Condo,71.56,02-09-2023,28-06-2023
1564,Blake Martin,353612,3.14,15,705,Self-Employed,108407,212882,Purchase,2814.57,Rejected,47384,Condo,83.8,27-06-2023,24-09-2023
1565,Jonathan Williams,283351,4.03,30,656,Unemployed,103103,366356,Home Improvement,2724.06,Approved,38097,Single-Family,86.22,29-07-2023,27-03-2023
1566,John Brooks,217406,3.18,20,606,Employed,96143,522749,Purchase,2958.4,Approved,34615,Single-Family,83.87,17-09-2023,07-08-2023
1567,Sheila Brooks,342613,4.39,20,760,Employed,53178,140386,Purchase,2064.68,Approved,22261,Condo,88.71,26-03-2023,22-04-2023
1568,Nina Brown,125720,4.59,30,633,Self-Employed,35840,369381,Home Improvement,2714.14,Pending,35444,Single-Family,74.26,31-10-2021,03-04-2023
1569,Paul Ramirez,112204,4.37,15,749,Self-Employed,38392,424487,Home Improvement,956.65,Approved,49086,Single-Family,79,01-08-2023,15-06-2023
1570,Emma Walsh,121098,3.14,20,612,Self-Employed,70786,782440,Refinance,2501.6,Rejected,37701,Townhouse,76.05,02-11-2022,10-08-2023
1571,Bryan Abbott,395531,4.43,20,697,Unemployed,37897,359254,Purchase,2179.37,Pending,41708,Single-Family,93.38,28-06-2023,05-02-2023
1572,Alejandro Meyer,210556,4.24,30,708,Self-Employed,38346,657247,Refinance,1745.83,Pending,15831,Condo,94.36,21-03-2022,29-07-2023
1573,Paige Diaz,459023,3.02,15,605,Self-Employed,80229,207130,Purchase,1730.07,Approved,21324,Single-Family,71.97,02-04-2022,19-11-2022
1574,William Sharp,198571,3.94,20,783,Employed,35812,614166,Purchase,1010.02,Approved,17795,Townhouse,90.81,19-10-2023,08-10-2023
1575,Robert Stone,410020,3.38,30,752,Employed,42916,217398,Home Improvement,1103.15,Approved,12122,Single-Family,80.56,05-03-2023,07-01-2023
1576,April Davis,272939,3.36,15,728,Unemployed,45953,738894,Refinance,1313.13,Rejected,44223,Condo,94.76,13-12-2022,16-01-2023
1577,Kelly Barrera,393920,4.22,20,772,Employed,61735,283915,Refinance,2562.41,Pending,41317,Single-Family,78.45,04-09-2023,18-07-2023
1578,Sarah Floyd,345396,4.44,15,658,Unemployed,47944,315531,Purchase,2146.59,Pending,28428,Townhouse,85.07,22-04-2022,04-03-2023
1579,Colton Velasquez,328087,4.28,30,700,Employed,92348,349461,Home Improvement,2186.53,Approved,20064,Single-Family,75.04,21-06-2022,12-07-2023
1580,Ryan Leach,186898,3.5,15,631,Unemployed,55160,739997,Refinance,1746.26,Approved,49903,Single-Family,81.52,12-07-2023,01-11-2022
1581,Ronald Lyons,109825,4.71,15,669,Self-Employed,82544,124296,Home Improvement,1943.39,Rejected,47988,Single-Family,75.9,03-11-2021,08-03-2023
1582,Alexandria Wilcox,174014,4.41,20,654,Self-Employed,112696,137763,Home Improvement,1585.86,Rejected,46874,Townhouse,83.09,02-06-2023,18-09-2023
1583,Jacob Gross,350673,3.35,30,697,Unemployed,32623,543315,Home Improvement,998.18,Rejected,38121,Townhouse,77.61,13-05-2023,18-01-2023
1584,Zachary Oconnell,491930,3.84,15,695,Unemployed,94711,266835,Home Improvement,2337.19,Approved,23037,Single-Family,82.95,20-11-2021,26-04-2023
1585,Rachel Rivera,319451,4.59,20,605,Unemployed,109880,447480,Home Improvement,2286.17,Approved,11106,Condo,89.72,29-01-2022,06-03-2023
1586,Yesenia Valencia,476258,4.93,20,779,Unemployed,59438,445366,Home Improvement,2200.99,Approved,21031,Townhouse,89.05,27-06-2023,29-05-2023
1587,Matthew Waters,429147,4.77,20,763,Self-Employed,114018,172702,Purchase,2057.88,Rejected,17925,Townhouse,93.18,12-04-2023,30-06-2023
1588,James Proctor,429939,3.24,30,666,Unemployed,92138,695820,Refinance,1765.97,Approved,34643,Townhouse,80.3,30-10-2023,07-02-2023
1589,Vanessa Morris,198037,4.66,15,674,Self-Employed,67003,685757,Home Improvement,2675.8,Rejected,12524,Single-Family,86.51,04-04-2022,23-12-2022
1590,Chad Lucas,490159,3.88,30,653,Self-Employed,60699,355707,Purchase,2433.22,Pending,48755,Condo,89.96,10-03-2023,20-07-2023
1591,Thomas Ford,321477,4.42,20,708,Unemployed,75480,438758,Home Improvement,835.68,Rejected,28160,Condo,82.25,11-01-2023,09-07-2023
1592,Michael Cannon,442002,3.37,20,768,Self-Employed,41603,289739,Home Improvement,1733.75,Pending,48874,Single-Family,83.39,18-06-2022,26-03-2023
1593,Erika Walker,437305,4.23,20,611,Self-Employed,114361,172130,Purchase,1524.54,Pending,33729,Townhouse,81.77,27-07-2023,28-08-2023
1594,Gene Baker,434517,4.56,15,794,Employed,83767,153425,Refinance,1045.12,Pending,45500,Condo,87.1,28-03-2023,01-11-2022
1595,Laura Norris,211751,3.84,30,743,Employed,82340,152970,Purchase,2361.21,Approved,35008,Condo,74.72,17-03-2022,30-04-2023
1596,William Ramirez,475226,4.17,15,606,Self-Employed,33887,473227,Refinance,1668.78,Pending,21628,Single-Family,91.22,13-03-2022,10-03-2023
1597,Douglas Patton,155682,4.02,30,747,Unemployed,91316,602017,Purchase,1706.13,Pending,33718,Single-Family,76.83,23-03-2023,23-01-2023
1598,Melanie Reyes,291323,4.58,30,660,Self-Employed,98013,516734,Refinance,554.16,Pending,25761,Townhouse,92.44,31-05-2023,07-03-2023
1599,Brandy Hood,349492,3.7,15,634,Employed,76258,733367,Home Improvement,2645.19,Approved,19792,Condo,87.72,04-02-2022,11-12-2022
1600,Benjamin Morales,418718,4.17,20,675,Unemployed,76652,739830,Refinance,914.02,Approved,38700,Condo,94.62,27-08-2023,18-11-2022
1601,Brittany Ingram,282920,3.39,15,662,Unemployed,66921,371952,Refinance,2145.22,Pending,18504,Single-Family,94.66,07-07-2023,03-11-2022
1602,Jennifer Palmer,401597,3.38,20,781,Unemployed,70773,456844,Home Improvement,1457.09,Approved,24764,Townhouse,74.31,27-06-2023,09-02-2023
1603,James Vincent,419405,4.9,20,641,Employed,68604,697988,Refinance,954.96,Rejected,29934,Townhouse,75.92,29-12-2022,26-02-2023
1604,Deborah Lawson,315853,3.23,15,769,Employed,111279,300399,Refinance,595.5,Approved,16430,Single-Family,94.23,02-11-2022,14-05-2023
